source_file,relative_path,title,mime_type,taken_timestamp,taken_time_iso_utc,taken_time_formatted,creation_time_formatted,last_modified_formatted,latitude,longitude,altitude_m,url,camera_make,camera_model,focal_length,exposure_time,f_stop,iso_equivalent
IMG_0854.JPG.supplemental-metadata.json,IMG_0854.JPG.supplemental-metadata.json,IMG_0854.JPG,,1444698920,2015-10-13T01:15:20+00:00,"Oct 13, 2015, 1:15:20 AM UTC","Jan 11, 2019, 10:42:39 PM UTC",,41.915949999999995,-72.81253889999999,90.38020833333333,https://photos.google.com/photo/AF1QipMavldVlafdqYyYoWmJsQyjVEJbvC5XZPZaS_aL,,,,,,
IMG_0584.HEIC.supplemental-metadata.json,IMG_0584.HEIC.supplemental-metadata.json,IMG_0584.HEIC,,1635109742,2021-10-24T21:09:02+00:00,"Oct 24, 2021, 9:09:02 PM UTC","Oct 25, 2021, 12:13:07 PM UTC",,41.916,-72.81269999999999,90.24,https://photos.google.com/photo/AF1QipN2Yv_RPXc3zJaBDv3rHscdgwYqkN2kxKmWFLm1,,,,,,
IMG_1237.JPG.supplemental-metadata.json,IMG_1237.JPG.supplemental-metadata.json,IMG_1237.JPG,,1449958768,2015-12-12T22:19:28+00:00,"Dec 12, 2015, 10:19:28 PM UTC","Jan 11, 2019, 10:45:51 PM UTC",,41.9158639,-72.8126833,91.73322932917317,https://photos.google.com/photo/AF1QipPCF0zoxyPAPt-va6OBdlXFEV6Bn40pBXYH83ev,,,,,,
IMG_5991.HEIC.supplemental-metadata.json,IMG_5991.HEIC.supplemental-metadata.json,IMG_5991.HEIC,,1699047210,2023-11-03T21:33:30+00:00,"Nov 3, 2023, 9:33:30 PM UTC","Nov 3, 2023, 11:00:47 PM UTC",,41.8259,-72.7986,281.08,https://photos.google.com/photo/AF1QipNAbnIYCXEkaLSIKcP7r6chebzwJSko0u18UWcV,,,,,,
IMG_1021.JPG.supplemental-metadata.json,IMG_1021.JPG.supplemental-metadata.json,IMG_1021.JPG,,1542324940,2018-11-15T23:35:40+00:00,"Nov 15, 2018, 11:35:40 PM UTC","Jan 12, 2019, 10:13:33 AM UTC",,41.916,-72.8129,177.12,https://photos.google.com/photo/AF1QipPHgbMm3OfyZTqnAd6gwu9V1HwduLW_aeY5dkc8,,,,,,
IMG_0808.JPG.supplemental-metadata.json,IMG_0808.JPG.supplemental-metadata.json,IMG_0808.JPG,,1443922045,2015-10-04T01:27:25+00:00,"Oct 4, 2015, 1:27:25 AM UTC","Jan 11, 2019, 10:42:42 PM UTC",,41.916058299999996,-72.8126917,88.46255506607929,https://photos.google.com/photo/AF1QipOghZSLxS8AhBOnp4rI_YIWuFUCE-yUlTF6Hy3H,,,,,,
IMG_0690.HEIC.supplemental-metadata.json,IMG_0690.HEIC.supplemental-metadata.json,IMG_0690.HEIC,,1636321752,2021-11-07T21:49:12+00:00,"Nov 7, 2021, 9:49:12 PM UTC","Nov 8, 2021, 7:31:04 AM UTC",,41.906299999999995,-72.82639999999999,92.56,https://photos.google.com/photo/AF1QipO2smEwQopokYBAQ8ENhXIRvswOgKoHYaHUHG2S,,,,,,
IMG_6623.HEIC.supplemental-metadata.json,IMG_6623.HEIC.supplemental-metadata.json,IMG_6623.HEIC,,1607981421,2020-12-14T21:30:21+00:00,"Dec 14, 2020, 9:30:21 PM UTC","Dec 18, 2020, 2:27:59 AM UTC",,41.916111099999995,-72.8127583,89.59935803910126,https://photos.google.com/photo/AF1QipN-72ca4tvF94SnTK0NJwMA97GCJ1NXKujDx7zI,,,,,,
IMG_0847.JPG.supplemental-metadata.json,IMG_0847.JPG.supplemental-metadata.json,IMG_0847.JPG,,1570828651,2019-10-11T21:17:31+00:00,"Oct 11, 2019, 9:17:31 PM UTC","Oct 13, 2019, 4:15:50 AM UTC",,41.8698667,-72.8159472,59.51008161305809,https://photos.google.com/photo/AF1QipM1mGu_eFLukNWLgtLR70C9c3_9H6ZzX_yT380q,,,,,,
IMG_2811.HEIC.supplemental-metadata.json,IMG_2811.HEIC.supplemental-metadata.json,IMG_2811.HEIC,,1666029943,2022-10-17T18:05:43+00:00,"Oct 17, 2022, 6:05:43 PM UTC","Dec 20, 2022, 4:07:24 AM UTC",,41.9058,-72.8266,92.83,https://photos.google.com/photo/AF1QipNp9kdWeOC_o5CzraphDggcdBp8AU3cLNTxg81d,,,,,,
IMG_2562.HEIC.supplemental-metadata.json,IMG_2562.HEIC.supplemental-metadata.json,IMG_2562.HEIC,,1661507970,2022-08-26T09:59:30+00:00,"Aug 26, 2022, 9:59:30 AM UTC","Aug 29, 2022, 9:41:57 PM UTC",,41.905919399999995,-72.85859719999999,232.09633278598795,https://photos.google.com/photo/AF1QipPqHnugQtdO648vlrM1NfienAcCvOKNxUoTC-nw,,,,,,
IMG_2172.JPG.supplemental-metadata.json,IMG_2172.JPG.supplemental-metadata.json,IMG_2172.JPG,,1468457438,2016-07-14T00:50:38+00:00,"Jul 14, 2016, 12:50:38 AM UTC","Jan 11, 2019, 10:54:58 PM UTC",,41.915825,-72.8128972,93.88644688644689,https://photos.google.com/photo/AF1QipMuMToMMrtCfUojG-LVqw-mqCYm9mlWMkg1JF0e,,,,,,
IMG_1065.MOV.supplemental-metadata.json,IMG_1065.MOV.supplemental-metadata.json,IMG_1065.MOV,,1446765412,2015-11-05T23:16:52+00:00,"Nov 5, 2015, 11:16:52 PM UTC","Jan 12, 2019, 1:01:44 PM UTC",,41.916,-72.81280000000001,182.36,https://photos.google.com/photo/AF1QipPj7OT8eXj30LxY5KqU4a9Ny3U_CTLZe_3akx7g,,,,,,
IMG_6610.HEIC.supplemental-metadata.json,IMG_6610.HEIC.supplemental-metadata.json,IMG_6610.HEIC,,1607981170,2020-12-14T21:26:10+00:00,"Dec 14, 2020, 9:26:10 PM UTC","Dec 18, 2020, 2:27:18 AM UTC",,41.916,-72.81280000000001,89.34,https://photos.google.com/photo/AF1QipNjawHToFnFGTMh-626odXhqeRXfay7mHZHfIXc,,,,,,
IMG_0629.JPG.supplemental-metadata.json,IMG_0629.JPG.supplemental-metadata.json,IMG_0629.JPG,,1635798225,2021-11-01T20:23:45+00:00,"Nov 1, 2021, 8:23:45 PM UTC","Nov 2, 2021, 2:19:57 AM UTC",,41.81258890000001,-72.87896669999999,0.0,https://photos.google.com/photo/AF1QipNiWdg5E_ja3f2oeE4W9Qd5ouP-cfMTw9_Gi7ME,,,,,,
IMG_6674.HEIC.supplemental-metadata.json,IMG_6674.HEIC.supplemental-metadata.json,IMG_6674.HEIC,,1608233068,2020-12-17T19:24:28+00:00,"Dec 17, 2020, 7:24:28 PM UTC","Dec 18, 2020, 2:34:54 AM UTC",,41.9032167,-72.7910528,70.01043441226575,https://photos.google.com/photo/AF1QipO2Xk4VR5n1mh60kKZWtY3BWwPFW3Ugcp2pn7P0,,,,,,
IMG_6214.HEIC.supplemental-metadata.json,IMG_6214.HEIC.supplemental-metadata.json,IMG_6214.HEIC,,1701977404,2023-12-07T19:30:04+00:00,"Dec 7, 2023, 7:30:04 PM UTC","Jan 24, 2024, 2:03:54 PM UTC",,41.916,-72.8126,90.35,https://photos.google.com/photo/AF1QipM-TDAt9RR9YcKnWu3kFZD-Rf4FnMMnJGN4k2A-,,,,,,
